product_id,product_name,category,unit_cost,unit_price
PRD-0001,Classic Lamp,,76.78,208.93
PRD-0002,Mini Headphones,Beauty,147.2,317.64
PRD-0003,Essential Headphones,Beauty,33.74,48.91
PRD-0004,Eco Chair,Electronics,14.44,37.34
PRD-0005,Ergo Serum,Home & Kitchen,121.42,283.26
prod_0006,Classic Headphones,,7.06,19.43
PRD-0007,Max Charger,Sports,166.99,257.12
PRD-0008,Smart Lamp,Sports,38.82,57.98
PRD-0009,Portable Backpack,Beauty,62.94,128.37
PRD-0010,Ultra Bottle,Apparel,88.09,146.75
PRD-0011,Smart Headphones,Beauty,123.54,175.82
PRD-0012,Max Serum,Apparel,60.55,108.15
PRD-0013,Mini Keyboard,Toys,92.85,228.07
PRD-0014,Mini Backpack,Electronics,42.34,85.64
PRD-0015,Ultra Bottle,Grocery,119.71,152.55
PRD-0016,Ultra Blender,Home & Kitchen,122.69,180.7
PRD-0017,Mini Headphones,Beauty,15.82,43.0
PRD-0018,Max Headphones,Sports,193.23,481.81
PRD-0019,Portable Mat,Apparel,63.01,85.46
PRD-0020,Ergo Mug,Home & Kitchen,137.79,262.39
PRD-0021,Max Jacket,Apparel,27.04,53.87
PRD-0022,Pro Serum,Electronics,9.77,25.94
PRD-0023,Ultra Bottle,Home & Kitchen,53.98,122.0
PRD-0024,Max Mouse,Electronics,64.41,130.89
PRD-0025,Portable Serum,Toys,110.7,165.58
PRD-0026,Pro Charger,Grocery,194.01,473.43
prod_0027,Eco Keyboard,Grocery,188.08,494.97
PRD-0028,Wireless Mat,Apparel,120.79,323.11
PRD-0029,Eco Lamp,Beauty,20.43,30.92
PRD-0030,Smart Blender,Electronics,11.91,20.49
PRD-0031,Max Mug,Beauty,79.57,130.03
PRD-0032,Ergo Mug,Electronics,166.26,294.41
PRD-0033,Classic Lamp,Electronics,58.34,120.67
PRD-0034,Deluxe Charger,Toys,30.76,76.39
PRD-0035,Wireless Blender,Home & Kitchen,17.69,49.16
PRD-0036,Deluxe Serum,Electronics,155.13,0.0
PRD-0037,Mini Keyboard,,4.09,10.24
PRD-0038,Classic Mat,Sports,142.25,336.62
PRD-0039,Deluxe Jacket,Grocery,154.94,204.28
PRD-0040,Portable Speaker,Beauty,73.62,101.99
PRD-0041,Eco Serum,Grocery,173.03,380.19
PRD-0042,Deluxe Speaker,Apparel,68.19,88.76
PRD-0043,Deluxe Mat,Electronics,64.26,110.55
PRD-0044,Deluxe Headphones,Electronics,146.73,325.75
PRD-0045,Mini Charger,Home & Kitchen,177.78,347.66
PRD-0046,Max Charger,Electronics,26.56,62.18
PRD-0047,Pro Jacket,Home & Kitchen,152.87,-31.78
PRD-0048,Portable Keyboard,Home & Kitchen,154.88,308.22
PRD-0049,Wireless Speaker,Beauty,105.98,199.67
PRD-0050,Ultra Mat,Beauty,8.01,10.99
PRD-0051,Max Mouse,Home & Kitchen,9.19,20.39
PRD-0052,Max Headphones,Apparel,64.93,130.75
PRD-0053,Ultra Mug,Beauty,181.79,290.66
PRD-0054,Ergo Charger,Home & Kitchen,83.85,201.98
PRD-0055,Max Chair,Grocery,48.07,63.6
PRD-0056,Essential Mat,Toys,60.08,87.59
PRD-0057,Mini Speaker,Electronics,186.15,464.07
PRD-0058,Portable Jacket,Toys,127.78,331.5
PRD-0059,Pro Serum,Grocery,161.32,241.74
PRD-0060,Pro Keyboard,Electronics,178.83,368.92
