issue_id,issue_type,dimension,affected_table,affected_column,number_of_records,sample_ids,business_risk,suggested_fix
ISS-001,item_total != quantity * unit_price,Consistency,order_items,item_total,107,"OI-0001210, OI-0000926, OI-0000621, OI-0000632, OI-0000082",Revenue reported at the line-item level does not reconcile with unit economics; directly misstates sales dashboards and financial reporting.,Recompute item_total from quantity * unit_price at the source system; add a calculated-field validation before it reaches reporting.
ISS-002,Duplicate records on 'order_item_id',Uniqueness,order_items,order_item_id,50,"OI-0000995, OI-0001035, OI-0001093, OI-0000050, OI-0001009","Double-counts records in order_items-based reports (e.g. revenue, order volume, customer counts) and can inflate KPIs presented to stakeholders.",De-duplicate on 'order_item_id' keeping the most recent/authoritative record; add a unique constraint at the database level.
ISS-003,order_items.product_id not found in products,Consistency,order_items,product_id,37,"OI-0001135, OI-0000313, OI-0001032, OI-0000482, OI-0000804",Line items cannot be joined to product master data (name/category/price); product-level sales reports undercount revenue.,Investigate deleted/renamed SKUs in the product master; backfill or reconcile product_id mapping before reporting.
ISS-004,Zero or negative quantity,Validity,order_items,quantity,30,"OI-0000632, OI-0000082, OI-0000059, OI-0001186, OI-0000530",Units-sold and revenue calculations are invalid for these line items; may indicate failed order cancellations.,Reject non-positive quantities at checkout/order-entry; reconcile with order status (e.g. cancelled/returned).
ISS-005,orders.customer_id not found in customers,Consistency,orders,customer_id,29,"ORD-000435, ORD-000365, ORD-000442, ORD-000182, ORD-000426",Orders cannot be attributed to a known customer; breaks customer lifetime value and retention analysis.,Validate customer_id against the customer master at order creation; quarantine orders with unresolved customer references.
ISS-006,Missing values in 'unit_price',Completeness,order_items,unit_price,25,"OI-0000627, OI-0000824, OI-0000200, OI-0000295, OI-0000567",Revenue and margin calculations for affected line items are unreliable.,Backfill 'unit_price' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-007,Duplicate records on 'order_id',Uniqueness,orders,order_id,20,"ORD-000496, ORD-000100, ORD-000078, ORD-000447, ORD-000412","Double-counts records in orders-based reports (e.g. revenue, order volume, customer counts) and can inflate KPIs presented to stakeholders.",De-duplicate on 'order_id' keeping the most recent/authoritative record; add a unique constraint at the database level.
ISS-008,ship_date earlier than order_date,Consistency,orders,ship_date / order_date,20,"ORD-000285, ORD-000210, ORD-000443, ORD-000133, ORD-000498",Logically impossible fulfillment timeline; breaks shipping SLA / lead-time analysis and customer-facing tracking.,Add a cross-field validation rule (ship_date >= order_date) at order-management-system ingestion.
ISS-009,Extreme quantity outlier (> Q3 + 3*IQR),Validity,order_items,quantity,20,"OI-0000045, OI-0000954, OI-0001173, OI-0000214, OI-0000043",Possible bulk-order data entry error or bot/fraud activity; can distort demand forecasting and inventory planning.,Flag for manual review against customer order history; cap or confirm with sales ops before fulfillment.
ISS-010,Missing values in 'customer_id',Completeness,orders,customer_id,14,"ORD-000435, ORD-000442, ORD-000182, ORD-000375, ORD-000339","Order cannot be attributed to a customer, breaking CLV/repeat-purchase analysis.",Backfill 'customer_id' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-011,Invalid 'order_id' format,Validity,orders,order_id,10,"order000138, order000497, order000232, order000176, order000393","Malformed 'order_id' values will fail joins/lookups against other tables, silently dropping records from cross-table reports (e.g. dashboards, SQL joins).",Standardize 'order_id' to the canonical format via a validation rule at ingestion; reject or quarantine records that do not match the expected pattern.
ISS-012,Missing values in 'email',Completeness,customers,email,8,"CUST-00016, CUST-00116, CUST-00070, CUST-00096, CUST-00031",Cannot run CRM/email marketing campaigns or verify customer identity.,Backfill 'email' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-013,Duplicate records on 'customer_id',Uniqueness,customers,customer_id,8,"CUST-00074, CUST-00136, CUST-00029, CUST-00158","Double-counts records in customers-based reports (e.g. revenue, order volume, customer counts) and can inflate KPIs presented to stakeholders.",De-duplicate on 'customer_id' keeping the most recent/authoritative record; add a unique constraint at the database level.
ISS-014,Missing values in 'city',Completeness,customers,city,6,"CUST-00057, CUST-00080, CUST-00068, CUST-00081, CUST-00038",Regional sales dashboards will undercount or misclassify customers.,Backfill 'city' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-015,Negative stock_quantity,Validity,inventory,stock_quantity,4,"INV-00001, INV-00076, INV-00094, INV-00105",Physically impossible; usually caused by unreconciled returns/shipments and leads to false stockout or overselling risk.,Reconcile with warehouse management system transaction log; enforce stock_quantity >= 0 constraint.
ISS-016,Missing values in 'category',Completeness,products,category,3,"PRD-0001, prod_0006, PRD-0037",Category-level revenue dashboards will be incomplete or misleading.,Backfill 'category' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-017,Missing values in 'stock_quantity',Completeness,inventory,stock_quantity,2,"INV-00022, INV-00091",Inventory dashboards and reorder alerts cannot evaluate this row.,Backfill 'stock_quantity' from source system or require it at data-entry time; add a NOT NULL / required-field validation upstream.
ISS-018,Invalid 'product_id' format,Validity,products,product_id,2,"prod_0006, prod_0027","Malformed 'product_id' values will fail joins/lookups against other tables, silently dropping records from cross-table reports (e.g. dashboards, SQL joins).",Standardize 'product_id' to the canonical format via a validation rule at ingestion; reject or quarantine records that do not match the expected pattern.
ISS-019,Zero or negative unit_price,Validity,products,unit_price,2,"PRD-0036, PRD-0047",Products would be sold for free or at a negative margin; directly corrupts revenue and margin reporting.,Enforce unit_price > 0 at data entry; route flagged SKUs to merchandising for price correction.
ISS-020,Extreme high stock_quantity outlier (> Q3 + 3*IQR),Validity,inventory,stock_quantity,2,"INV-00021, INV-00090",Possible duplicate receiving entry or unit-of-measure error; ties up working-capital reporting and reorder-point logic.,Cross-check against purchase orders and warehouse receiving records before trusting for reorder automation.
